"","Description","Lot.Batch..","Category","Sub.Category","Strain.Name","Strain.Type","d9.THC..mg.g.","THCA..mg.g.","d8.THC..mg.g.","CBD..mg.g.","CBDA..mg.g.","CBDV..mg.g.","CBN..mg.g.","CBG..mg.g.","CBC..mg.g.","CBCA..mg.g.","CBGA..mg.g.","Total.THC.mg.g","Total.CBD.mg.g","Terpinolene....","Eudesmol....","α.Pinene....","β.Pinene....","Camphene....","Eucalyptol....","Isopulegol....","Menthol....","Borneol....","Trans.Beta.Ocimene....","Cis.Beta.Ocimene....","Geraniol....","Linalool....","Guaiol....","α.Bisabolol....","α.Terpinene....","Citronellol....","δ.3.Carene....","Cis.Nerolidol....","Trans.Nerolidol....","Limonene....","P.Cymene....","γ.Terpinene....","α.Terpineol....","ß.Myrcene....","CaryophylleneOxide....","α.Humulene....","ß.Caryophyllene....","total_cannabinoidsMg.g","total_terpsMg.g"
"265","CHM-HRLNP191017-TNT 100%","LION'S PAW Tincture complete","Edible","Tincture","","",28.263,0.445,NA,0.095,NA,NA,0.263,0.1,0.116,0.049,0.06,28.6533,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.391,0
"266","CHM-HRLNP191017-TNT 100% T2","Lion's Paw tincture 100% T2","Edible","Tincture","","",27.66403,0.44673,NA,0.0972,NA,NA,0.25269,0.09556,0.11012,0.04188,0.04991,28.0558,0.0972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.75812,0
"267","CHM-HRLNP191017-TNT 92%","Lion's Paw Tincture","Edible","Tincture","","",28.218,0.448,NA,0.083,NA,NA,0.275,0.12,0.124,0.05,0.06,28.6109,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.378,0
"268","CHM-HRMLNP191017-FSO-QC","PL 451 Purged FSO QC 01","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0917,NA,0.126,0.00681,0.0127,NA,NA,NA,NA,0.0382,0.174,NA,0.00226,NA,NA,0.00661,NA,NA,NA,NA,1.69,NA,0.00622,NA,1.18,NA,1.33,5.43,0,10.0945
"269","CHM-HRMLNP191017-FSO-QC2","LNP","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"270","CHM-HRMLNP191017-FSO-QC2","CHM-HRMLNP191017-FSO","Concentrate","Other","","",666.756,32.047,NA,2.163,0.532,NA,4.563,2.568,2.7,2.237,2.363,694.861,2.62956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715.929,0
"271","CHM-HRMLNP191017-FSO QC2","CHM-HRMLNP191017-FSO","Concentrate","Other","","",690.872,51.447,NA,2.431,0.598,NA,4.032,2.479,2.7,NA,2.791,735.991,2.95545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757.35,0
"272","CHM-HRMLNP191017-FSO QC6 Infused","Lion's Paw infused","Concentrate","Other","","",635.025,11.348,NA,2.536,NA,NA,7.222,2.815,2.949,1.231,1.609,644.977,2.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664.735,0
"273","CHM-HRMLNP191017-TNT 90%","Lion's Claw Tincture","Edible","Tincture","","",25.316,0.41356,NA,0.111,NA,NA,0.26089,0.11733,0.17254,NA,0.06439,25.6787,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.45571,0
"274","CHM-HRT191011-FSOA-QC2","Harle Tsu final","Concentrate","Other","","",36.111,NA,NA,683.422,NA,5.098,9.497,4.087,15.489,NA,NA,36.111,683.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,753.704,0
"275","CHM-IK-QC","CHM-IK-QC","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"276","CHM-JPTR-QC","CHM-JPTR-QC","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"277","CHM-LDWRMD191204-FSOA PT 1","Remedy experiements","Concentrate","Other","","",18.045,16.197,NA,216.517,597.503,NA,NA,1.564,7.52,34.761,NA,32.2498,740.527,0.0171,NA,0.574,0.0135,0.0458,0.00551,NA,NA,NA,0.0152,0.0223,NA,0.00168,NA,0.00933,0.012,NA,NA,NA,NA,0.501,NA,0.00497,NA,3.26,NA,0.16,1.4,892.107,6.04239
"278","CHM-LDWRMD191204-FSOA PT 2","remedy experiments","Concentrate","Other","","",19.007,15.135,NA,227.358,569.047,NA,NA,1.554,7.768,34.023,NA,32.2804,726.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,873.892,0
"279","CHM-LDWRMD191204-FSOA PT2","Remedy Purge","Concentrate","Other","","",20.361,12.052,NA,279.659,520.132,NA,NA,3.615,8.098,30.617,8.46,30.9306,735.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,882.994,0
"280","CHM-LMRACD190103-FSO-01","PL 405 LMR ACDC #1 of 2 QC Tests","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"281","CHM-LMRACD190103-FSO-01","PL 405 LMR ACDC #1 of 2 QC Tests","Concentrate","Other","","",34.8,5,NA,434.9,239.7,4.1,1.6,4.1,28.3,43.6,5.3,39.185,645.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801.4,0
"282","CHM-LMRACD190103-FSO-02","PL 405 LMR ACDC #2 Final QC Tests","Concentrate","Other","","",26.7,10.1,NA,311.8,347.6,1.4,1.3,2.8,20.9,53.3,6.2,35.5577,616.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782.1,0
"283","CHM-LMRACD190103-FSO-SPILAF","PL 405","Concentrate","Other","","",35.4,2.5,NA,507.6,147.7,3,3.3,3.8,30.4,30.1,2.5,37.5925,637.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,766.3,0
"284","CHM-LMRACD190103-FSO-SPILB4","PL 405","Concentrate","Other","","",27,4.3,NA,352.9,190.4,2.1,1.7,3,23.1,34.1,3.5,30.7711,519.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642.1,0
"285","CHM-LMRPKP190321-FSO-QC","PL 406","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"286","CHM-LSLBW190220-FSO","PL 395","Concentrate","Other","","",33,14.6,NA,347.1,406.9,0.8,0.5,5.2,8.9,19.4,6.8,45.8042,703.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,843.2,0
"287","CHM-LSLBW190220-FSO","PL 395","Concentrate","Other","","",11.7,20.7,NA,118,373,NA,NA,5.7,6.6,17.4,10.7,29.8539,445.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563.8,0
"288","CHM-LSLBW190220-FSOA-02","PL 395 QC Tests -02","Concentrate","Other","","",39.5,7.4,NA,416.6,245.6,1.3,NA,5.1,10.3,15.3,3.8,45.9898,631.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744.9,0
"289","CHM-LSXJ190826-FSO-QC","PL 440","Concentrate","Other","","",729.911,37.2,NA,2.941,0.808,NA,2.463,23.008,5.15,3.707,12.889,762.535,3.64962,3.38,NA,0.109,0.0033,0.0099,0.0126,NA,NA,NA,0.0481,0.82,NA,0.0104,NA,NA,0.138,NA,0.0437,NA,NA,0.202,0.0253,0.0911,NA,0.289,NA,0.485,1.69,818.077,7.3574
"290","CHM-LSXJ190826-FSO-QC-02","PL 440","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"291","CHM-MGDNT190606-FSOA-QC","PL 423","Concentrate","Other","","",186.2,43.5,NA,308.3,261.8,12.2,2.1,6.8,7.9,16.3,8.8,224.349,537.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,853.9,0
"292","CHM-MMATA&LGB-FSO QC1","Athena/Light beam","Concentrate","Other","","",281.73,16.237,NA,442.215,134.588,2.109,4.818,7.965,10.249,11.642,7.356,295.97,560.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,918.909,0
"293","CHM-MMATA190621-FSOA-PT1 QC2","Athena Part 1","Concentrate","Other","","",218.084,25.576,NA,407.757,203.657,7.997,2.93,4.934,NA,14.79,4.427,240.514,586.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,890.152,0
"294","CHM-MMATA190621-FSOA-PT1 QC3","athena final qc3","Concentrate","Other","","",209.704,23.441,NA,400.414,197.844,8.463,4.096,4.543,8.663,14.326,NA,230.262,573.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871.494,0
"295","CHM-MMATA190621-FSOA-PT2 QC1","Athena purge","Concentrate","Other","","",197.114,16.784,NA,393.916,152.691,8.609,5.951,2.523,8.071,9.561,NA,211.834,527.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795.22,0
"296","CHM-MMBDC190312-FSO","PL 413","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"297","CHM-MMBDC190702-FSO-QC","PL 420 PURGED FSO-QC","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0948,NA,0.0515,NA,0.00702,0.01,NA,NA,0.00533,0.0161,0.0395,NA,0.231,NA,0.152,0.0108,NA,0.00476,NA,0.0774,0.467,NA,0.00743,0.00602,0.43,0.00689,0.786,2.07,0,4.47355
"298","CHM-MMBKD190628-FSOA-QC","PL 431","Concentrate","Other","","",46.1,7.1,NA,502.3,293.1,9.2,0.7,6.7,11,17.2,5.9,52.3267,759.349,0.235,0.00297,0.0171,NA,0.00198,0.00593,NA,NA,0.0061,0.0151,0.064,NA,0.0698,0.0086,0.00748,0.0178,NA,NA,NA,0.0189,0.0768,NA,0.0106,0.00365,0.228,0.0141,0.123,0.359,899.3,1.28591
"299","CHM-MMBKD190628-FSOA QC2 Infused","Blackdog infused","Concentrate","Other","","",41.068,6.409,NA,421.323,249.209,NA,NA,5.877,10.08,16.424,8.103,46.6887,639.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,758.493,0
"300","CHM-MMFBF190918-FSO-QC","PL 443 Purged FSO QC","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"301","CHM-MMHKB190709-FSO-QACRUDE","PL 434","Concentrate","Other","","",142,427.9,NA,0.8,1.6,NA,0.9,7.3,2.4,11.1,22.4,517.268,2.2032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616.4,0
"302","CHM-MMHKB190709-FSO-QC","PL 434","Concentrate","Other","","",765.2,12.2,NA,2.1,0.5,NA,6.9,15.9,9.2,4.3,6.8,775.899,2.5385,0.0354,NA,0.0499,0.00171,0.00824,0.0117,NA,NA,0.00616,0.00744,0.0128,NA,0.259,NA,0.18,0.00582,NA,0.00203,NA,0.0931,0.292,NA,0.00502,0.013,0.175,0.0157,0.996,2.48,823.1,4.65002
"303","CHM-MMHRT190327-FSO-CRUDE","PL 407","Concentrate","Other","","",8.9,42.9,NA,115.9,407.6,NA,1.2,4.7,5.2,19.2,13.5,46.5233,473.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619.1,0
"304","CHM-MMHRT190327-FSOA-QC","PL 407","Concentrate","Other","","",81.7,13.1,NA,460.7,260.9,3.9,0.9,6.1,10.1,17.3,9.1,93.1887,689.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863.8,0
"305","CHM-MMLGB190718-FSOA-QACRUDE","PL 435","Concentrate","Other","","",64.1,143.9,NA,77.3,256,NA,NA,10.2,5,15,22,190.3,301.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593.5,0
"306","CHM-MMLGB190718-FSOA-QC","PL 435 Purged FSOA-QC","Concentrate","Other","","",238.9,57.5,NA,273.3,220.8,NA,1.8,11.3,9,15.4,14,289.327,466.942,0.0244,0.00572,0.0867,0.00375,0.0137,0.00226,NA,NA,0.00479,0.014,0.0221,NA,0.0977,0.0208,0.00829,0.00394,NA,NA,NA,0.0141,0.977,NA,0.00361,0.00596,0.613,0.00803,0.76,1.96,842,4.64985
"307","CHM-MMLGB190806-FSOA-QC","PL 436 Purged FSOA QC 01","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"308","CHM-MMLGB190806-FSOA CRUDE","PL 436","Concentrate","Other","","",65.1,164.6,NA,73.1,290.1,NA,0.6,9.8,5.3,19.1,27.9,209.454,327.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,655.6,0
"309","CHM-MMLGB190806 QC","Light beam QC","Concentrate","Other","","",212.593,62.64,NA,292.215,247.844,NA,3.351,5.053,6.716,17.907,10.269,267.528,509.574,0.135,NA,0.0855,NA,0.00901,NA,NA,NA,NA,0.00922,0.0531,NA,NA,NA,NA,0.00857,NA,0.00343,NA,NA,1.11,NA,0.00407,NA,0.571,NA,0.759,1.85,858.588,4.5979
"310","CHM-MMPDP181206-FSO","PL 372","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"311","CHM-MMPNW181206-FSO","PL 397 MM PNW FSO QC Tests","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"312","CHM-MMRNM190916-FSC-QC","PL 445 Purged FSC-QC 01","Concentrate","Other","","",22.574,864.152,NA,NA,2.747,NA,NA,NA,0.562,20.44,4.703,780.435,2.40912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,915.178,0
"313","CHM-MMRNM190916-FSO-QC","","Concentrate","","","",680.322,144.08,NA,1.983,0.97,NA,4.728,16.146,9.602,6.942,8.474,806.68,2.83369,0.0198,NA,0.0765,0.00843,0.015,0.00396,NA,NA,NA,0.0126,0.063,NA,0.1271,0.00231,0.00487,0.00504,NA,NA,NA,NA,0.49,NA,0.00454,NA,0.444,NA,0.179,0.579,873.247,2.03515
"314","CHM-MMSRP181217-FSO","PL 398 MM SRP FSO","Concentrate","Other","","",189.2,68.3,NA,278.6,239,NA,1.8,2.3,7.3,20.5,4.4,249.099,488.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,811.4,0
"315","CHM-MMSRP190716-FSOA-QC","PL 433 PURGED FSOA-QC","Concentrate","Other","","",215.3,74.6,NA,275.3,265.7,NA,2,3.7,8.8,22.7,9.8,280.724,508.319,0.0318,NA,0.0694,NA,0.00958,0.01157,NA,NA,0.00222,0.01903,0.13415,NA,0.0112,NA,0.0116,0.00689,NA,NA,NA,NA,0.6236,NA,0.006,0.0028,0.8475,0.00203,0.4758,1.326,877.9,3.59117
"316","CHM-MRFMHZ191009-FSO","","Concentrate","Other","","",241.45,14.488,NA,396.177,125.834,1.243,2.967,7.416,11.929,9.826,4.429,254.156,506.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815.759,0
"317","CHM-PDB191211-FSO","CHM-PDB191211-FSO","Concentrate","Other","","",612.66,19.551,NA,65.925,12.6,NA,16.182,12.918,9.211,4.862,6.845,629.806,76.9752,0.127,NA,0.15,0.00916,0.0116,0.00468,NA,NA,NA,0.0111,0.0587,NA,0.0911,NA,0.00367,0.00781,NA,NA,NA,NA,0.675,NA,0.0061,0.00351,0.639,NA,0.89,2.57,760.754,5.25843
"318","CHM-PNPJCK-FSO","Pineapple Jack R&D FSO","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"319","CHM-RBL99C190425-FSO-QC","PL 422 - FSO","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"320","CHM-RBL99C190425-FSO-QC-02","PL 422","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"321","CHM-RBL99C190501-FSC-QC","PL 422","Concentrate","Crystalline","","",35.2,890.8,NA,0.6,3,NA,0.6,1.9,1.1,7.6,15.1,816.432,3.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955.9,0
"322","CHM-RBL99C190501-FSC-QC2","PL 422","Concentrate","Crystalline","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"323","CHM-RCCBBF190605-FSC-QC","PL 430","Concentrate","Crystalline","","",56.9,827.9,NA,0.4,2.9,NA,0.8,1.8,NA,6.7,15.9,782.968,2.9433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913.3,0
"324","CHM-RHBLK190517-FSO-QC","PL 414","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"325","CHM-RHHRT191011-FSOA-QC1","Harle-Tsu (RH) Finished Oil","Concentrate","Other","","",10.186,24.667,NA,153.577,611.124,NA,NA,2.732,3.315,24.305,NA,31.819,689.533,0.59,NA,0.222,0.11,0.0183,0.00394,NA,NA,NA,0.0202,0.239,NA,NA,NA,0.0021,0.0184,NA,0.00555,NA,NA,0.927,NA,0.0151,NA,1.7,0.0455,0.17,1.94,829.906,6.02709
"326","CHM-RHHRT191011-FSOA QC3","Harle-Tsu Purge","Concentrate","Other","","",33.678,NA,NA,633.883,1.445,4.479,8.688,3.385,14.983,NA,NA,33.678,635.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700.541,0
"327","CHM-RMD190410-FSO-CRUDE-CONTROL","PL 400","Concentrate","Other","","",2.5,22.4,NA,21.7,532.9,NA,NA,1.9,1.3,25.2,7.5,22.1448,489.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.4,0
"328","CHM-RMD190410-FSO-CRUDE-E1","PL 400","Concentrate","Other","","",2.1,19.3,NA,20.8,475.2,NA,NA,1.8,1.2,21.5,5.4,19.0261,437.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547.3,0
"329","CHM-RMD190410-FSO-CRUDE-E2","PL 400","Concentrate","Other","","",2.2,20.5,NA,21.1,508.1,NA,NA,1.9,1.2,21.9,7.7,20.1785,466.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584.6,0
"330","CHM-RMD190410-FSO-CRUDE-E3","PL 400","Concentrate","Other","","",2.2,20.3,NA,20.7,512.7,NA,NA,1.9,1.2,22.3,7.6,20.0031,470.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588.9,0
"331","CHM-S4-QC-01","CHM S4 QC Lot 1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"332","CHM-S4-QC-02","CHM S4 QC Lot 2","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"333","CHM-S4 PNW-QC","CHM-S4 PNW-QC","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"334","CHM-SHFMF-210323-FSO","","Concentrate","Other","","",290.78,414.251,NA,3.741,4.185,NA,2.156,5.767,3.217,15.583,17.828,654.078,7.41124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757.508,0
"335","CHM-T2-QC","CHM-T2-QC","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"336","CHM-T2 L2. 528 MTW-QC1","CHM-T2 L2. 528 MTW-QC1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"337","CHM-T2 L2. 528 MTW-QC2","CHM-T2 L2. 528 MTW-QC1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
